Jahr,RaumSort,RaumLang,RechtsformSort,RechtsformLang,asBetriebsgrSort,BetriebsgrLang,Arbeitsstaetten,AnzBesch,AnzBeschW,AnzBeschM,AnzVZAano,AnzVZAWano,AnzVZAMano
2011,12,Hochschulen,8,"Öffentliche Unternehmen, Verwaltung",2,Kleine Unternehmen,27,1317,813,504,647,308,339
2011,12,Hochschulen,8,"Öffentliche Unternehmen, Verwaltung",3,Mittlere Unternehmen,24,2780,1413,1367,1922,879,1043
2011,12,Hochschulen,8,"Öffentliche Unternehmen, Verwaltung",4,Grosse Unternehmen,3,1497,717,780,,,
2011,13,Lindenhof,0,Alle Rechtsformen,0,Alle Betriebsgrössen,1193,15160,7649,7511,12213,5602,6608
2011,13,Lindenhof,0,Alle Rechtsformen,1,Mikrounternehmen,988,3500,2098,1402,2494,1410,1081
2011,13,Lindenhof,0,Alle Rechtsformen,2,Kleine Unternehmen,160,4196,2304,1892,3400,1762,1639
2011,13,Lindenhof,0,Alle Rechtsformen,3,Mittlere Unternehmen,39,4665,2162,2503,4038,1717,2321
2011,13,Lindenhof,0,Alle Rechtsformen,4,Grosse Unternehmen,6,2799,1085,1714,2281,713,1567
2011,13,Lindenhof,1,Einzelfirmen,0,Alle Betriebsgrössen,333,833,529,304,610,355,255
2011,13,Lindenhof,1,Einzelfirmen,1,Mikrounternehmen,327,649,403,246,468,266,202
2011,13,Lindenhof,1,Einzelfirmen,2,Kleine Unternehmen,6,184,126,58,142,89,53
2011,13,Lindenhof,2,Personengesellschaften,0,Alle Betriebsgrössen,50,319,225,94,241,161,80
2011,13,Lindenhof,2,Personengesellschaften,1,Mikrounternehmen,45,176,126,50,125,83,42
2011,13,Lindenhof,2,Personengesellschaften,2,Kleine Unternehmen,5,143,99,44,,,
2011,13,Lindenhof,3,Aktiengesellschaften,0,Alle Betriebsgrössen,580,8770,4427,4343,7392,3451,3941
2011,13,Lindenhof,3,Aktiengesellschaften,1,Mikrounternehmen,441,1870,1136,734,1412,799,613
2011,13,Lindenhof,3,Aktiengesellschaften,2,Kleine Unternehmen,115,2936,1610,1326,2413,1251,1162
2011,13,Lindenhof,3,Aktiengesellschaften,3,Mittlere Unternehmen,21,2655,1234,1421,2378,1034,1344
2011,13,Lindenhof,3,Aktiengesellschaften,4,Grosse Unternehmen,3,1309,447,862,,,
2011,13,Lindenhof,4,GmbH,0,Alle Betriebsgrössen,129,842,408,434,628,284,344
2011,13,Lindenhof,4,GmbH,1,Mikrounternehmen,114,365,217,148,271,153,118
2011,13,Lindenhof,4,GmbH,2,Kleine Unternehmen,13,348,150,198,,,
2011,13,Lindenhof,4,GmbH,3,Mittlere Unternehmen,2,129,41,88,,,
2011,13,Lindenhof,5,Genossenschaften,0,Alle Betriebsgrössen,10,337,213,124,272,165,106
2011,13,Lindenhof,5,Genossenschaften,1,Mikrounternehmen,6,36,24,12,26,18,7
2011,13,Lindenhof,5,Genossenschaften,2,Kleine Unternehmen,2,82,49,33,,,
2011,13,Lindenhof,5,Genossenschaften,3,Mittlere Unternehmen,2,219,140,79,,,
2011,13,Lindenhof,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,14,236,96,140,214,80,134
2011,13,Lindenhof,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,10,41,22,19,33,15,17
2011,13,Lindenhof,6,Ausländische Kapitalgesellschaften,2,Kleine Unternehmen,3,67,40,27,,,
2011,13,Lindenhof,6,Ausländische Kapitalgesellschaften,3,Mittlere Unternehmen,1,128,34,94,,,
2011,13,Lindenhof,7,"Vereine, Stiftungen",0,Alle Betriebsgrössen,26,150,82,68,92,48,43
2011,13,Lindenhof,7,"Vereine, Stiftungen",1,Mikrounternehmen,25,126,65,61,78,38,39
2011,13,Lindenhof,7,"Vereine, Stiftungen",2,Kleine Unternehmen,1,24,17,7,,,
2011,13,Lindenhof,8,"Öffentliche Unternehmen, Verwaltung",0,Alle Betriebsgrössen,51,3673,1669,2004,2764,1058,1705
2011,13,Lindenhof,8,"Öffentliche Unternehmen, Verwaltung",1,Mikrounternehmen,20,237,105,132,81,38,43
2011,13,Lindenhof,8,"Öffentliche Unternehmen, Verwaltung",2,Kleine Unternehmen,15,412,213,199,353,169,184
2011,13,Lindenhof,8,"Öffentliche Unternehmen, Verwaltung",3,Mittlere Unternehmen,13,1534,713,821,1238,505,733
2011,13,Lindenhof,8,"Öffentliche Unternehmen, Verwaltung",4,Grosse Unternehmen,3,1490,638,852,,,
2011,14,City,0,Alle Rechtsformen,0,Alle Betriebsgrössen,1834,30084,14496,15588,24633,10861,13768
2011,14,City,0,Alle Rechtsformen,1,Mikrounternehmen,1438,5448,3165,2283,3991,2135,1855
2011,14,City,0,Alle Rechtsformen,2,Kleine Unternehmen,300,7710,4038,3672,6142,2972,3167
2011,14,City,0,Alle Rechtsformen,3,Mittlere Unternehmen,83,10279,4321,5958,8623,3315,5307
2011,14,City,0,Alle Rechtsformen,4,Grosse Unternehmen,13,6647,2972,3675,5877,2439,3439
2011,14,City,1,Einzelfirmen,0,Alle Betriebsgrössen,390,1074,641,433,788,421,367
2011,14,City,1,Einzelfirmen,1,Mikrounternehmen,379,776,460,316,544,283,261
2011,14,City,1,Einzelfirmen,2,Kleine Unternehmen,11,298,181,117,244,138,106
2011,14,City,2,Personengesellschaften,0,Alle Betriebsgrössen,72,1031,547,484,763,386,377
2011,14,City,2,Personengesellschaften,1,Mikrounternehmen,59,251,177,74,177,115,62
2011,14,City,2,Personengesellschaften,2,Kleine Unternehmen,10,199,108,91,169,87,82
2011,14,City,2,Personengesellschaften,3,Mittlere Unternehmen,3,581,262,319,,,
2011,14,City,3,Aktiengesellschaften,0,Alle Betriebsgrössen,999,21839,10370,11469,18251,7961,10291
2011,14,City,3,Aktiengesellschaften,1,Mikrounternehmen,715,3138,1786,1352,2373,1256,1117
